Date & Time,Temperature,Clouds,Humidity,Barometer,Wind,Wind Direction
"Saturday, 22 October 2016, 06:00 — 12:00",28 / 19 °C,Clear,67%,1011 mbar,1 km/h,E
"Saturday, 22 October 2016, 12:00 — 18:00",33 / 30 °C,Haze,39%,1010 mbar,5 km/h,N
"Saturday, 22 October 2016, 18:00 — 00:00",30 / 24 °C,Clear,61%,1011 mbar,0 km/h,N
"Sunday, 23 October 2016, 00:00 — 06:00",24 / 20 °C,Clear,76%,1010 mbar,0 km/h,N
"Sunday, 23 October 2016, 06:00 — 12:00",30 / 19 °C,Clear,56%,1012 mbar,7 km/h,WNW
"Sunday, 23 October 2016, 12:00 — 18:00",33 / 29 °C,Haze,36%,1009 mbar,11 km/h,WNW
"Sunday, 23 October 2016, 18:00 — 00:00",28 / 23 °C,Clear,55%,1009 mbar,3 km/h,WSW
"Monday, 24 October 2016, 00:00 — 06:00",23 / 18 °C,Clear,74%,1008 mbar,16 km/h,SE
"Monday, 24 October 2016, 06:00 — 12:00",31 / 18 °C,Clear,60%,1010 mbar,4 km/h,S
"Monday, 24 October 2016, 12:00 — 18:00",33 / 29 °C,Clear,32%,1008 mbar,4 km/h,E
"Monday, 24 October 2016, 18:00 — 00:00",29 / 23 °C,Clear,49%,1008 mbar,5 km/h,NE
"Tuesday, 25 October 2016, 00:00 — 06:00",23 / 18 °C,Clear,66%,1009 mbar,1 km/h,NNE
"Tuesday, 25 October 2016, 06:00 — 12:00",29 / 18 °C,Clear,66%,1011 mbar,2 km/h,W
"Tuesday, 25 October 2016, 12:00 — 18:00",32 / 29 °C,Haze,36%,1009 mbar,6 km/h,WSW
"Tuesday, 25 October 2016, 18:00 — 00:00",28 / 22 °C,Clear,58%,1010 mbar,1 km/h,SE
"Wednesday, 26 October 2016, 00:00 — 06:00",22 / 18 °C,Clear,80%,1010 mbar,1 km/h,NNE
"Wednesday, 26 October 2016, 06:00 — 12:00",29 / 18 °C,Clear,61%,1014 mbar,2 km/h,W
"Wednesday, 26 October 2016, 12:00 — 18:00",31 / 29 °C,Haze,32%,1013 mbar,11 km/h,NNW
"Wednesday, 26 October 2016, 18:00 — 00:00",28 / 22 °C,Haze,49%,1015 mbar,0 km/h,N
"Thursday, 27 October 2016, 00:00 — 06:00",22 / 19 °C,Clear,70%,1015 mbar,0 km/h,N
"Thursday, 27 October 2016, 06:00 — 12:00",29 / 18 °C,Haze,63%,1017 mbar,7 km/h,W
"Thursday, 27 October 2016, 12:00 — 18:00",32 / 30 °C,Haze,34%,1015 mbar,13 km/h,WNW
"Thursday, 27 October 2016, 18:00 — 00:00",28 / 23 °C,Passing clouds,57%,1015 mbar,1 km/h,W
"Friday, 28 October 2016, 00:00 — 06:00",23 / 19 °C,Clear,73%,1014 mbar,2 km/h,N
"Friday, 28 October 2016, 06:00 — 12:00",29 / 17 °C,Clear,69%,1015 mbar,7 km/h,WNW
"Friday, 28 October 2016, 12:00 — 18:00",32 / 29 °C,Haze,32%,1012 mbar,10 km/h,WSW
"Friday, 28 October 2016, 18:00 — 00:00",27 / 21 °C,Clear,58%,1012 mbar,0 km/h,N
"Saturday, 29 October 2016, 00:00 — 06:00",21 / 16 °C,Clear,76%,1012 mbar,1 km/h,E
"Saturday, 29 October 2016, 06:00 — 12:00",28 / 16 °C,Clear,68%,1015 mbar,5 km/h,SSE
"Saturday, 29 October 2016, 12:00 — 18:00",30 / 26 °C,Haze,38%,1013 mbar,7 km/h,E
"Saturday, 29 October 2016, 18:00 — 00:00",25 / 21 °C,Clear,60%,1015 mbar,6 km/h,E
"Sunday, 30 October 2016, 00:00 — 06:00",21 / 17 °C,Clear,78%,1015 mbar,1 km/h,E
"Sunday, 30 October 2016, 06:00 — 12:00",24 / 18 °C,Fog,75%,848 mbar,3 km/h,E
"Sunday, 30 October 2016, 12:00 — 18:00",29 / 26 °C,Scattered clouds,48%,1014 mbar,4 km/h,ENE
"Sunday, 30 October 2016, 18:00 — 00:00",26 / 21 °C,Passing clouds,65%,1017 mbar,3 km/h,E
"Monday, 31 October 2016, 00:00 — 06:00",20 / 18 °C,Clear,80%,1017 mbar,2 km/h,E
"Monday, 31 October 2016, 06:00 — 12:00",25 / 16 °C,Fog,74%,1020 mbar,1 km/h,SSE
"Monday, 31 October 2016, 12:00 — 18:00",28 / 26 °C,Haze,46%,1018 mbar,2 km/h,E
"Monday, 31 October 2016, 18:00 — 00:00",25 / 21 °C,Clear,68%,1019 mbar,0 km/h,N
"Tuesday, 1 November 2016, 00:00 — 06:00",21 / 18 °C,Clear,78%,1018 mbar,1 km/h,NE
"Tuesday, 1 November 2016, 06:00 — 12:00",25 / 16 °C,Fog,76%,1018 mbar,0 km/h,N
"Tuesday, 1 November 2016, 12:00 — 18:00",28 / 26 °C,Clear,49%,1016 mbar,3 km/h,W
"Tuesday, 1 November 2016, 18:00 — 00:00",24 / 20 °C,Clear,74%,1017 mbar,1 km/h,SE
"Wednesday, 2 November 2016, 00:00 — 06:00",19 / 16 °C,Fog,86%,1016 mbar,0 km/h,N
"Wednesday, 2 November 2016, 06:00 — 12:00",25 / 16 °C,Fog,80%,1018 mbar,2 km/h,SSE
"Wednesday, 2 November 2016, 12:00 — 18:00",28 / 25 °C,Clear,57%,1017 mbar,0 km/h,N
"Wednesday, 2 November 2016, 18:00 — 00:00",24 / 20 °C,Clear,74%,1017 mbar,0 km/h,N
"Thursday, 3 November 2016, 00:00 — 06:00",20 / 15 °C,Fog,90%,1018 mbar,0 km/h,N
"Thursday, 3 November 2016, 06:00 — 12:00",26 / 20 °C,Clear,66%,1018 mbar,1 km/h,NW
"Thursday, 3 November 2016, 12:00 — 18:00",27 / 25 °C,Clear,53%,1017 mbar,5 km/h,ENE
"Thursday, 3 November 2016, 18:00 — 00:00",25 / 20 °C,Clear,70%,1017 mbar,0 km/h,N
"Friday, 4 November 2016, 00:00 — 06:00",20 / 16 °C,Fog,83%,1016 mbar,0 km/h,N
"Friday, 4 November 2016, 06:00 — 12:00",23 / 15 °C,Fog,86%,1015 mbar,1 km/h,ESE
"Friday, 4 November 2016, 12:00 — 18:00",28 / 26 °C,Clear,54%,1012 mbar,3 km/h,WSW
"Friday, 4 November 2016, 18:00 — 00:00",25 / 20 °C,Clear,71%,1012 mbar,0 km/h,N
"Saturday, 5 November 2016, 00:00 — 06:00",20 / 16 °C,Fog,84%,1012 mbar,3 km/h,NNW
"Saturday, 5 November 2016, 06:00 — 12:00",25 / 15 °C,Fog,77%,1013 mbar,3 km/h,S
"Saturday, 5 November 2016, 12:00 — 18:00",29 / 26 °C,Haze,44%,1010 mbar,7 km/h,WNW
"Saturday, 5 November 2016, 18:00 — 00:00",25 / 20 °C,Clear,62%,1011 mbar,0 km/h,N
"Sunday, 6 November 2016, 00:00 — 06:00",19 / 15 °C,Fog,80%,1010 mbar,0 km/h,SSW
"Sunday, 6 November 2016, 06:00 — 12:00",26 / 14 °C,Clear,71%,1013 mbar,1 km/h,SSE
"Sunday, 6 November 2016, 12:00 — 18:00",29 / 25 °C,Haze,47%,1012 mbar,1 km/h,SSE
"Sunday, 6 November 2016, 18:00 — 00:00",25 / 20 °C,Clear,72%,1013 mbar,0 km/h,N
"Monday, 7 November 2016, 00:00 — 06:00",20 / 15 °C,Fog,86%,1013 mbar,2 km/h,N
"Monday, 7 November 2016, 06:00 — 12:00",26 / 14 °C,Clear,64%,1015 mbar,6 km/h,WNW
"Monday, 7 November 2016, 12:00 — 18:00",28 / 26 °C,Haze,42%,1014 mbar,14 km/h,W
"Monday, 7 November 2016, 18:00 — 00:00",25 / 18 °C,Clear,56%,1014 mbar,4 km/h,W
"Tuesday, 8 November 2016, 00:00 — 06:00",18 / 13 °C,Clear,72%,1013 mbar,6 km/h,W
"Tuesday, 8 November 2016, 06:00 — 12:00",26 / 13 °C,Clear,68%,1015 mbar,4 km/h,NW
"Tuesday, 8 November 2016, 12:00 — 18:00",29 / 26 °C,Haze,43%,1013 mbar,9 km/h,WNW
"Tuesday, 8 November 2016, 18:00 — 00:00",25 / 19 °C,Clear,62%,1015 mbar,0 km/h,N
"Wednesday, 9 November 2016, 00:00 — 06:00",19 / 14 °C,Clear,77%,1015 mbar,1 km/h,ENE
"Wednesday, 9 November 2016, 06:00 — 12:00",27 / 14 °C,Clear,58%,1017 mbar,1 km/h,ENE
"Wednesday, 9 November 2016, 12:00 — 18:00",29 / 27 °C,Haze,35%,1015 mbar,3 km/h,NW
"Wednesday, 9 November 2016, 18:00 — 00:00",26 / 20 °C,Clear,52%,1015 mbar,0 km/h,N
"Thursday, 10 November 2016, 00:00 — 06:00",20 / 15 °C,Clear,69%,1014 mbar,1 km/h,NE
"Thursday, 10 November 2016, 06:00 — 12:00",26 / 13 °C,Scattered clouds,62%,1015 mbar,0 km/h,SSE
"Thursday, 10 November 2016, 12:00 — 18:00",28 / 26 °C,Scattered clouds,32%,1013 mbar,7 km/h,E
"Thursday, 10 November 2016, 18:00 — 00:00",25 / 18 °C,Clear,63%,1014 mbar,0 km/h,N
"Friday, 11 November 2016, 00:00 — 06:00",18 / 13 °C,Clear,78%,1013 mbar,7 km/h,E
"Friday, 11 November 2016, 06:00 — 12:00",24 / 13 °C,Clear,68%,922 mbar,8 km/h,SE
"Friday, 11 November 2016, 12:00 — 18:00",27 / 21 °C,Haze,44%,1013 mbar,14 km/h,ESE
"Friday, 11 November 2016, 18:00 — 00:00",22 / 19 °C,Clear,66%,1014 mbar,11 km/h,E
"Saturday, 12 November 2016, 00:00 — 06:00",18 / 15 °C,Clear,78%,1015 mbar,10 km/h,ESE
"Saturday, 12 November 2016, 06:00 — 12:00",20 / 14 °C,Scattered clouds,74%,1017 mbar,17 km/h,NNE
"Saturday, 12 November 2016, 12:00 — 18:00",21 / 18 °C,Scattered clouds,64%,1016 mbar,17 km/h,E
"Saturday, 12 November 2016, 18:00 — 00:00",19 / 16 °C,Passing clouds,70%,1017 mbar,4 km/h,W
"Sunday, 13 November 2016, 00:00 — 06:00",16 / 12 °C,Clear,78%,1018 mbar,9 km/h,N
"Sunday, 13 November 2016, 06:00 — 12:00",23 / 12 °C,Haze,59%,1020 mbar,7 km/h,N
"Sunday, 13 November 2016, 12:00 — 18:00",26 / 23 °C,Clear,34%,1018 mbar,7 km/h,N
"Sunday, 13 November 2016, 18:00 — 00:00",23 / 16 °C,Clear,56%,1018 mbar,4 km/h,SE
"Monday, 14 November 2016, 00:00 — 06:00",16 / 12 °C,Clear,75%,1017 mbar,1 km/h,NW
"Monday, 14 November 2016, 06:00 — 12:00",28 / 12 °C,Clear,66%,1018 mbar,2 km/h,NNE
"Monday, 14 November 2016, 12:00 — 18:00",27 / 23 °C,Haze,43%,1016 mbar,10 km/h,WNW
"Monday, 14 November 2016, 18:00 — 00:00",23 / 14 °C,Clear,72%,1017 mbar,2 km/h,SE
"Tuesday, 15 November 2016, 00:00 — 06:00",14 / 11 °C,Clear,82%,1016 mbar,0 km/h,N
"Tuesday, 15 November 2016, 06:00 — 12:00",25 / 11 °C,Clear,64%,1018 mbar,6 km/h,WNW
"Tuesday, 15 November 2016, 12:00 — 18:00",27 / 23 °C,Clear,43%,1017 mbar,10 km/h,NW
"Tuesday, 15 November 2016, 18:00 — 00:00",22 / 16 °C,Clear,68%,1018 mbar,0 km/h,N
"Wednesday, 16 November 2016, 00:00 — 06:00",16 / 12 °C,Clear,74%,1018 mbar,1 km/h,ENE
"Wednesday, 16 November 2016, 06:00 — 12:00",25 / 10 °C,Haze,60%,1020 mbar,7 km/h,NW
"Wednesday, 16 November 2016, 12:00 — 18:00",28 / 23 °C,Haze,41%,1018 mbar,10 km/h,WNW
"Wednesday, 16 November 2016, 18:00 — 00:00",22 / 16 °C,Clear,65%,1019 mbar,3 km/h,WNW
"Thursday, 17 November 2016, 00:00 — 06:00",16 / 11 °C,Clear,80%,1019 mbar,0 km/h,N
"Thursday, 17 November 2016, 06:00 — 12:00",23 / 10 °C,Fog,65%,927 mbar,7 km/h,WNW
"Thursday, 17 November 2016, 12:00 — 18:00",27 / 23 °C,Haze,34%,1017 mbar,10 km/h,WNW
"Thursday, 17 November 2016, 18:00 — 00:00",21 / 16 °C,Clear,63%,1017 mbar,2 km/h,SW
"Friday, 18 November 2016, 00:00 — 06:00",16 / 10 °C,Clear,76%,1016 mbar,1 km/h,WNW
"Friday, 18 November 2016, 06:00 — 12:00",24 / 10 °C,Haze,61%,1017 mbar,7 km/h,WNW
"Friday, 18 November 2016, 12:00 — 18:00",27 / 23 °C,Haze,33%,1014 mbar,8 km/h,W
"Friday, 18 November 2016, 18:00 — 00:00",16 / 14 °C,Clear,74%,1014 mbar,0 km/h,N
"Saturday, 19 November 2016, 00:00 — 06:00",14 / 11 °C,Clear,82%,1013 mbar,2 km/h,NE
"Saturday, 19 November 2016, 06:00 — 12:00",25 / 10 °C,Clear,67%,1014 mbar,1 km/h,WSW
"Saturday, 19 November 2016, 12:00 — 18:00",27 / 24 °C,Haze,36%,1011 mbar,4 km/h,W
"Saturday, 19 November 2016, 18:00 — 00:00",23 / 15 °C,Clear,63%,1013 mbar,0 km/h,N
"Sunday, 20 November 2016, 00:00 — 06:00",15 / 11 °C,Clear,82%,1013 mbar,3 km/h,E
"Sunday, 20 November 2016, 06:00 — 12:00",22 / 10 °C,Fog,69%,1016 mbar,7 km/h,ESE
"Sunday, 20 November 2016, 12:00 — 18:00",25 / 23 °C,Scattered clouds,41%,1013 mbar,9 km/h,ESE
"Sunday, 20 November 2016, 18:00 — 00:00",23 / 15 °C,Clear,65%,1014 mbar,11 km/h,E
"Monday, 21 November 2016, 00:00 — 06:00",15 / 12 °C,Clear,78%,1014 mbar,9 km/h,ESE
"Monday, 21 November 2016, 06:00 — 12:00",26 / 18 °C,Scattered clouds,47%,1016 mbar,13 km/h,SE
"Monday, 21 November 2016, 12:00 — 18:00",29 / 24 °C,Scattered clouds,35%,1013 mbar,11 km/h,SSE
"Monday, 21 November 2016, 18:00 — 00:00",24 / 17 °C,Passing clouds,68%,1014 mbar,6 km/h,E
"Tuesday, 22 November 2016, 00:00 — 06:00",17 / 13 °C,Passing clouds,81%,1013 mbar,3 km/h,E
"Tuesday, 22 November 2016, 06:00 — 12:00",26 / 12 °C,Passing clouds,67%,1015 mbar,2 km/h,N
"Tuesday, 22 November 2016, 12:00 — 18:00",27 / 23 °C,Haze,43%,1013 mbar,7 km/h,NNE
"Tuesday, 22 November 2016, 18:00 — 00:00",23 / 17 °C,Clear,63%,1013 mbar,1 km/h,N
"Wednesday, 23 November 2016, 00:00 — 06:00",17 / 11 °C,Clear,80%,1012 mbar,0 km/h,N
"Wednesday, 23 November 2016, 06:00 — 12:00",25 / 11 °C,Scattered clouds,69%,1014 mbar,2 km/h,W
"Wednesday, 23 November 2016, 12:00 — 18:00",27 / 22 °C,Scattered clouds,39%,1013 mbar,2 km/h,W
"Wednesday, 23 November 2016, 18:00 — 00:00",21 / 16 °C,Passing clouds,68%,1015 mbar,0 km/h,N
"Thursday, 24 November 2016, 00:00 — 06:00",16 / 13 °C,Fog,76%,1016 mbar,1 km/h,NNE
"Thursday, 24 November 2016, 06:00 — 12:00",24 / 12 °C,Fog,67%,1018 mbar,6 km/h,N
"Thursday, 24 November 2016, 12:00 — 18:00",27 / 24 °C,Scattered clouds,40%,1016 mbar,11 km/h,NNW
"Thursday, 24 November 2016, 18:00 — 00:00",22 / 16 °C,Passing clouds,64%,1017 mbar,3 km/h,W
"Friday, 25 November 2016, 00:00 — 06:00",16 / 13 °C,Clear,76%,1016 mbar,10 km/h,WNW
"Friday, 25 November 2016, 06:00 — 12:00",25 / 12 °C,Scattered clouds,58%,1018 mbar,12 km/h,NNW
"Friday, 25 November 2016, 12:00 — 18:00",28 / 26 °C,Scattered clouds,37%,1015 mbar,15 km/h,WNW
"Friday, 25 November 2016, 18:00 — 00:00",19 / 16 °C,Passing clouds,68%,1014 mbar,9 km/h,W
"Saturday, 26 November 2016, 00:00 — 06:00",16 / 13 °C,Fog,75%,1014 mbar,6 km/h,NW
"Saturday, 26 November 2016, 06:00 — 12:00",24 / 13 °C,Scattered clouds,63%,1016 mbar,7 km/h,WNW
"Saturday, 26 November 2016, 12:00 — 18:00",27 / 24 °C,Scattered clouds,38%,1014 mbar,9 km/h,W
"Saturday, 26 November 2016, 18:00 — 00:00",24 / 18 °C,Passing clouds,51%,1015 mbar,6 km/h,W
"Sunday, 27 November 2016, 00:00 — 06:00",17 / 13 °C,Clear,72%,1015 mbar,2 km/h,NNW
"Sunday, 27 November 2016, 06:00 — 12:00",23 / 12 °C,Clear,65%,1017 mbar,7 km/h,NW
"Sunday, 27 November 2016, 12:00 — 18:00",28 / 24 °C,Clear,32%,1014 mbar,13 km/h,WNW
"Sunday, 27 November 2016, 18:00 — 00:00",23 / 17 °C,Passing clouds,52%,1014 mbar,5 km/h,WNW
"Monday, 28 November 2016, 00:00 — 06:00",16 / 11 °C,Clear,74%,1014 mbar,3 km/h,WNW
"Monday, 28 November 2016, 06:00 — 12:00",26 / 10 °C,Haze,54%,1015 mbar,4 km/h,W
"Monday, 28 November 2016, 12:00 — 18:00",28 / 24 °C,Clear,24%,1013 mbar,9 km/h,W
"Monday, 28 November 2016, 18:00 — 00:00",23 / 16 °C,Clear,58%,1015 mbar,1 km/h,ENE
"Tuesday, 29 November 2016, 00:00 — 06:00",16 / 11 °C,Clear,77%,1014 mbar,0 km/h,N
"Tuesday, 29 November 2016, 06:00 — 12:00",25 / 10 °C,Scattered clouds,63%,1017 mbar,3 km/h,E
"Tuesday, 29 November 2016, 12:00 — 18:00",28 / 24 °C,Scattered clouds,32%,1016 mbar,1 km/h,E
"Tuesday, 29 November 2016, 18:00 — 00:00",22 / 16 °C,Clear,52%,1016 mbar,1 km/h,ESE
"Wednesday, 30 November 2016, 00:00 — 06:00",15 / 12 °C,Clear,76%,1016 mbar,1 km/h,E
"Wednesday, 30 November 2016, 06:00 — 12:00",21 / 10 °C,Fog,75%,1019 mbar,3 km/h,SE
"Wednesday, 30 November 2016, 12:00 — 18:00",25 / 22 °C,Haze,50%,1017 mbar,4 km/h,E
"Wednesday, 30 November 2016, 18:00 — 00:00",20 / 15 °C,Clear,72%,1017 mbar,3 km/h,NNE
"Thursday, 1 December 2016, 00:00 — 06:00",15 / 11 °C,Fog,90%,1017 mbar,0 km/h,N
"Thursday, 1 December 2016, 06:00 — 12:00",22 / 10 °C,Fog,80%,1019 mbar,1 km/h,NNW
"Thursday, 1 December 2016, 12:00 — 18:00",24 / 22 °C,Clear,54%,1018 mbar,4 km/h,NNW
"Thursday, 1 December 2016, 18:00 — 00:00",22 / 15 °C,Clear,68%,1018 mbar,0 km/h,NW
"Friday, 2 December 2016, 00:00 — 06:00",14 / 10 °C,Clear,85%,1018 mbar,0 km/h,N
"Friday, 2 December 2016, 06:00 — 12:00",21 / 9 °C,Clear,67%,1019 mbar,2 km/h,NNW
"Friday, 2 December 2016, 12:00 — 18:00",26 / 23 °C,Haze,33%,1017 mbar,6 km/h,W
"Friday, 2 December 2016, 18:00 — 00:00",21 / 14 °C,Clear,54%,1018 mbar,0 km/h,N
"Saturday, 3 December 2016, 00:00 — 06:00",14 / 10 °C,Clear,72%,1018 mbar,0 km/h,SW
"Saturday, 3 December 2016, 06:00 — 12:00",23 / 8 °C,Scattered clouds,64%,1020 mbar,2 km/h,SE
"Saturday, 3 December 2016, 12:00 — 18:00",26 / 22 °C,Scattered clouds,30%,1019 mbar,6 km/h,WNW
"Saturday, 3 December 2016, 18:00 — 00:00",21 / 15 °C,Clear,58%,1020 mbar,0 km/h,N
"Sunday, 4 December 2016, 00:00 — 06:00",15 / 10 °C,Clear,76%,1020 mbar,0 km/h,N
"Sunday, 4 December 2016, 06:00 — 12:00",22 / 9 °C,Passing clouds,78%,1021 mbar,2 km/h,SE
"Sunday, 4 December 2016, 12:00 — 18:00",25 / 22 °C,Haze,44%,1019 mbar,6 km/h,W
"Sunday, 4 December 2016, 18:00 — 00:00",21 / 16 °C,Clear,70%,1019 mbar,0 km/h,N
"Monday, 5 December 2016, 00:00 — 06:00",15 / 10 °C,Clear,80%,1018 mbar,0 km/h,N
"Monday, 5 December 2016, 06:00 — 12:00",22 / 9 °C,Fog,63%,1019 mbar,4 km/h,W
"Monday, 5 December 2016, 12:00 — 18:00",25 / 23 °C,Haze,33%,1017 mbar,6 km/h,WNW
"Monday, 5 December 2016, 18:00 — 00:00",23 / 16 °C,Clear,57%,1018 mbar,0 km/h,N
"Tuesday, 6 December 2016, 00:00 — 06:00",16 / 10 °C,Clear,78%,1018 mbar,0 km/h,N
"Tuesday, 6 December 2016, 06:00 — 12:00",22 / 10 °C,Fog,74%,1019 mbar,2 km/h,E
"Tuesday, 6 December 2016, 12:00 — 18:00",25 / 22 °C,Haze,45%,1018 mbar,0 km/h,NE
"Tuesday, 6 December 2016, 18:00 — 00:00",21 / 15 °C,Clear,69%,1019 mbar,0 km/h,N
"Wednesday, 7 December 2016, 00:00 — 06:00",15 / 11 °C,Clear,80%,1018 mbar,0 km/h,N
"Wednesday, 7 December 2016, 06:00 — 12:00",22 / 9 °C,Fog,75%,1019 mbar,1 km/h,SSE
"Wednesday, 7 December 2016, 12:00 — 18:00",26 / 23 °C,Haze,45%,1016 mbar,5 km/h,WNW
"Wednesday, 7 December 2016, 18:00 — 00:00",21 / 14 °C,Clear,70%,1017 mbar,1 km/h,E
"Thursday, 8 December 2016, 00:00 — 06:00",14 / 9 °C,Fog,90%,1016 mbar,0 km/h,N
"Thursday, 8 December 2016, 06:00 — 12:00",15 / 9 °C,Fog,96%,1018 mbar,2 km/h,E
"Thursday, 8 December 2016, 12:00 — 18:00",20 / 19 °C,Clear,70%,1015 mbar,6 km/h,ESE
"Thursday, 8 December 2016, 18:00 — 00:00",18 / 13 °C,Fog,89%,1016 mbar,7 km/h,E
"Friday, 9 December 2016, 00:00 — 06:00",13 / 11 °C,Fog,100%,1015 mbar,4 km/h,SE
"Friday, 9 December 2016, 06:00 — 12:00",14 / 11 °C,Fog,100%,1016 mbar,5 km/h,SE
"Friday, 9 December 2016, 12:00 — 18:00",21 / 14 °C,Clear,76%,912 mbar,7 km/h,E
"Friday, 9 December 2016, 18:00 — 00:00",19 / 13 °C,Cool,86%,1013 mbar,7 km/h,E
"Saturday, 10 December 2016, 00:00 — 06:00",13 / 10 °C,Cool,100%,1012 mbar,3 km/h,E
"Saturday, 10 December 2016, 06:00 — 12:00",20 / 10 °C,Clear,81%,553 mbar,13 km/h,SE
"Saturday, 10 December 2016, 12:00 — 18:00",24 / 21 °C,Haze,51%,1011 mbar,16 km/h,SSE
"Saturday, 10 December 2016, 18:00 — 00:00",20 / 16 °C,Fog,77%,1013 mbar,8 km/h,SE
"Sunday, 11 December 2016, 00:00 — 06:00",16 / 12 °C,Fog,90%,1013 mbar,6 km/h,E
"Sunday, 11 December 2016, 06:00 — 12:00",17 / 12 °C,Mild,88%,1016 mbar,4 km/h,ENE
"Sunday, 11 December 2016, 12:00 — 18:00",23 / 19 °C,Mild,69%,1013 mbar,6 km/h,W
"Sunday, 11 December 2016, 18:00 — 00:00",19 / 14 °C,Cool,91%,1014 mbar,5 km/h,WSW
"Monday, 12 December 2016, 00:00 — 06:00",14 / 10 °C,Cool,100%,1014 mbar,4 km/h,SSW
"Monday, 12 December 2016, 06:00 — 12:00",14 / 9 °C,Cool,99%,1016 mbar,5 km/h,ESE
"Monday, 12 December 2016, 12:00 — 18:00",15 / 14 °C,Cool,94%,1015 mbar,4 km/h,SSE
"Monday, 12 December 2016, 18:00 — 00:00",14 / 12 °C,Cool,99%,1016 mbar,4 km/h,E
"Tuesday, 13 December 2016, 00:00 — 06:00",12 / 10 °C,Cool,100%,1015 mbar,7 km/h,NE
"Tuesday, 13 December 2016, 06:00 — 12:00",14 / 10 °C,Cool,100%,1017 mbar,3 km/h,N
"Tuesday, 13 December 2016, 12:00 — 18:00",19 / 16 °C,Mild,74%,1017 mbar,7 km/h,N
"Tuesday, 13 December 2016, 18:00 — 00:00",17 / 13 °C,Cool,82%,1017 mbar,1 km/h,WNW
"Wednesday, 14 December 2016, 00:00 — 06:00",13 / 10 °C,Cool,93%,1017 mbar,0 km/h,N
"Wednesday, 14 December 2016, 06:00 — 12:00",15 / 7 °C,Cool,95%,1019 mbar,5 km/h,SE
"Wednesday, 14 December 2016, 12:00 — 18:00",19 / 16 °C,Mild,66%,1018 mbar,6 km/h,ESE
"Wednesday, 14 December 2016, 18:00 — 00:00",14 / 13 °C,Cool,94%,1018 mbar,0 km/h,N
"Thursday, 15 December 2016, 00:00 — 06:00",13 / 8 °C,Passing clouds,85%,1017 mbar,0 km/h,N
"Thursday, 15 December 2016, 06:00 — 12:00",18 / 7 °C,Scattered clouds,72%,1018 mbar,4 km/h,WNW
"Thursday, 15 December 2016, 12:00 — 18:00",22 / 19 °C,Scattered clouds,39%,1017 mbar,10 km/h,NW
"Thursday, 15 December 2016, 18:00 — 00:00",19 / 13 °C,Passing clouds,62%,1017 mbar,0 km/h,N
"Friday, 16 December 2016, 00:00 — 06:00",13 / 10 °C,Fog,78%,1018 mbar,0 km/h,N
"Friday, 16 December 2016, 06:00 — 12:00",19 / 8 °C,Mild,73%,1020 mbar,1 km/h,SSE
"Friday, 16 December 2016, 12:00 — 18:00",23 / 19 °C,Haze,45%,926 mbar,5 km/h,N
"Friday, 16 December 2016, 18:00 — 00:00",17 / 13 °C,Clear,69%,1019 mbar,0 km/h,N
"Saturday, 17 December 2016, 00:00 — 06:00",12 / 9 °C,Clear,79%,1019 mbar,1 km/h,NNE
"Saturday, 17 December 2016, 06:00 — 12:00",19 / 7 °C,Mild,79%,1019 mbar,2 km/h,WNW
"Saturday, 17 December 2016, 12:00 — 18:00",22 / 18 °C,Haze,43%,1017 mbar,10 km/h,W
"Saturday, 17 December 2016, 18:00 — 00:00",18 / 13 °C,Clear,64%,1018 mbar,0 km/h,N
"Sunday, 18 December 2016, 00:00 — 06:00",12 / 8 °C,Fog,84%,1018 mbar,0 km/h,N
"Sunday, 18 December 2016, 06:00 — 12:00",19 / 8 °C,Clear,73%,1019 mbar,4 km/h,WNW
"Sunday, 18 December 2016, 12:00 — 18:00",23 / 19 °C,Haze,40%,1018 mbar,8 km/h,W
"Sunday, 18 December 2016, 18:00 — 00:00",19 / 14 °C,Clear,63%,1019 mbar,1 km/h,SSW
"Monday, 19 December 2016, 00:00 — 06:00",13 / 10 °C,Fog,77%,1019 mbar,0 km/h,N
"Monday, 19 December 2016, 06:00 — 12:00",21 / 8 °C,Clear,69%,927 mbar,7 km/h,W
"Monday, 19 December 2016, 12:00 — 18:00",23 / 19 °C,Haze,43%,1018 mbar,11 km/h,W
"Monday, 19 December 2016, 18:00 — 00:00",18 / 13 °C,Clear,69%,1018 mbar,5 km/h,W
"Tuesday, 20 December 2016, 00:00 — 06:00",13 / 9 °C,Clear,82%,1017 mbar,6 km/h,WNW
"Tuesday, 20 December 2016, 06:00 — 12:00",20 / 8 °C,Clear,70%,1018 mbar,11 km/h,NW
"Tuesday, 20 December 2016, 12:00 — 18:00",25 / 22 °C,Haze,26%,1016 mbar,13 km/h,WNW
"Tuesday, 20 December 2016, 18:00 — 00:00",21 / 14 °C,Clear,60%,1017 mbar,8 km/h,W
"Wednesday, 21 December 2016, 00:00 — 06:00",14 / 9 °C,Clear,72%,1016 mbar,3 km/h,W
"Wednesday, 21 December 2016, 06:00 — 12:00",20 / 8 °C,Scattered clouds,63%,1018 mbar,5 km/h,NNW
"Wednesday, 21 December 2016, 12:00 — 18:00",25 / 20 °C,Scattered clouds,31%,1016 mbar,9 km/h,W
"Wednesday, 21 December 2016, 18:00 — 00:00",18 / 13 °C,Clear,69%,1016 mbar,0 km/h,N
